movie_id tag_id
1	465
1	326
1	900
1	2119
1	2293
2	488
2	2057
2	117
2	146
2	438
3	7444
3	13668
3	3242
3	3196
3	2724
5	4946
5	4294
5	1646
5	752
5	4953
6	3008
6	675
6	1277
6	3013
6	13128
7	747
7	415
7	11630
7	8994
7	9479
8	9074
8	1224
9	7891
9	1277
10	485
10	657
10	5843
10	977
10	15227
11	779
11	689
11	6401
11	780
11	8476
12	1452
12	944
12	62
12	42
13	7751
14	779
14	2462
14	102
14	1482
14	8453
15	136
15	4617
16	310
16	214
16	8418
16	1061
16	251
17	1061
17	2158
17	6679
17	5301
17	2260
18	2241
18	312
18	449
18	93
18	629
19	364
19	14382
19	1427
19	55
20	2938
20	2067
20	2261
21	678
21	9610
21	214
21	2733
21	10746
22	54
23	2261
23	6324
24	7809
24	3024
24	5565
24	386
24	11448
25	418
25	1422
25	219
25	587
25	6669
26	1320
26	9408
26	4401
26	9002
26	9298
28	11619
28	730
28	4818
28	6709
28	387
29	64
29	24
29	4740
29	2082
29	553
31	910
31	9762
31	10304
31	2261
31	473
32	13
32	754
32	1184
32	296
32	635
34	1809
34	7158
34	2647
34	117
34	1876
35	11037
35	11468
35	2158
35	14510
35	16073
36	1647
36	172
36	762
36	2596
36	633
38	8481
39	1450
39	7669
39	910
39	415
39	14035
40	4560
40	2745
40	387
41	1320
41	5151
41	4666
41	1472
41	9002
42	1765
42	6594
43	5711
43	143
43	93
44	655
44	7407
44	686
44	5035
44	2136
45	374
45	15943
45	2578
45	1218
45	5021
46	1646
46	587
47	54
47	754
47	2341
47	2465
47	2652
48	900
48	3862
48	16148
48	870
48	2953
49	375
49	1654
49	2955
50	502
50	2603
50	2960
50	2389
50	630
52	61
52	5040
52	5670
52	1675
52	244
53	367
53	6709
54	429
55	10738
57	1472
57	369
57	473
58	498
58	1729
58	10898
58	354
58	6717
62	328
62	910
62	3071
62	10176
62	3475
65	1693
65	12428
65	195
65	1277
66	13160
67	6708
69	1220
69	692
69	4266
70	2241
70	119
70	312
70	644
70	449
71	93
72	4464
72	1141
72	8914
72	1159
72	8941
74	892
75	12428
76	261
76	8886
76	93
78	762
78	1470
78	93
79	93
80	12515
80	10905
80	11409
80	1152
80	2076
81	3008
81	14042
81	6889
81	2955
82	6341
82	8812
82	5273
82	14510
82	1136
85	5510
85	1610
85	730
85	7050
86	2406
86	1578
88	4716
88	55
89	59
89	1273
92	3828
92	1277
93	3772
94	2399
94	2614
95	11403
95	2611
95	2731
95	5055
95	10725
96	1135
97	11061
97	1937
97	10390
97	263
97	8935
98	5264
98	765
98	3007
100	689
100	2955
101	23
101	396
101	651
101	2751
101	15167
104	793
104	4861
104	651
104	674
104	6544
105	663
105	5565
105	4339
105	4464
105	4365
107	136
107	1269
107	3762
107	3590
107	1876
110	870
110	473
110	1625
110	247
110	904
111	644
111	310
111	225
111	638
111	4707
112	2164
112	5156
112	686
112	15780
112	6220
114	398
116	633
116	9343
116	11286
116	10934
116	11244
117	1065
121	4297
122	8535
122	1277
123	8079
123	13968
123	285
123	12376
123	12394
125	1057
125	501
132	595
132	1751
132	603
135	3055
135	3085
135	5083
135	3729
135	1189
